window_s,auc_causal,auc_acausal,r2_causal,r2_acausal
2.500000000000000000e-01,5.008841631448075482e-01,4.863009184350161607e-01,-9.064499964080394157e-02,-9.297986417775741530e-02
5.000000000000000000e-01,4.989313964045846150e-01,4.951168136964911315e-01,-8.788887341021527078e-02,-1.001998288990981339e-01
1.000000000000000000e+00,5.022939621723216952e-01,4.879993090612821938e-01,-9.285190965521010475e-02,-1.046021395707545515e-01
2.000000000000000000e+00,4.807982163926594055e-01,4.853395002379214951e-01,-1.180097858472659578e-01,-1.243991284193548541e-01
