window_s,auc_causal,auc_acausal,r2_causal,r2_acausal
2.500000000000000000e-01,4.950915501927905527e-01,5.012805802094283392e-01,-1.122443853958314391e-01,-1.071704653221748210e-01
5.000000000000000000e-01,4.904840593506934465e-01,4.860423601379986747e-01,-1.161250339915811391e-01,-1.207758494512246317e-01
1.000000000000000000e+00,4.764408315639962477e-01,4.755762760961589342e-01,-1.381282264885748123e-01,-1.364018936148950478e-01
2.000000000000000000e+00,4.527254313036353506e-01,4.627028022794689721e-01,-2.155940702405639287e-01,-2.213390232450646589e-01
