window_s,auc_causal,auc_acausal,r2_causal,r2_acausal
2.500000000000000000e-01,7.577422537004243619e-01,7.599873796981818641e-01,-8.576395390583031741e-02,-7.752584803379888867e-02
5.000000000000000000e-01,7.709424556213628765e-01,7.703956168303187635e-01,-7.951679999065768001e-02,-7.227132488111664976e-02
1.000000000000000000e+00,7.405755554328117274e-01,7.920224037042356002e-01,-6.811504417447278303e-02,-6.905141405421968970e-02
2.000000000000000000e+00,6.727021481113688584e-01,7.843395537287495278e-01,-6.000706001234579201e-02,-5.677815320825170542e-02
