window_s,auc_causal,auc_acausal,r2_causal,r2_acausal
2.500000000000000000e-01,7.600376460704951764e-01,7.257682098180417984e-01,-4.758141886536582099e-02,-4.885694968351390888e-02
5.000000000000000000e-01,7.267762578407213070e-01,7.670303047838670230e-01,-4.786981562825316783e-02,-3.731031453312712298e-02
1.000000000000000000e+00,8.010527155999612736e-01,7.875582170505327495e-01,-6.338533417408900861e-02,-4.178692610250533956e-02
2.000000000000000000e+00,7.929945036579877371e-01,8.243487273331885357e-01,-6.950653840775614101e-02,-4.687442928248466284e-02
