held_out,model,target,auc
01,M0,reach,0.5492198544493581
01,M3,reach,0.5202009725296562
04,M0,reach,0.3657016481960954
04,M3,reach,0.44273064607645846
06,M0,reach,0.5
06,M3,reach,0.5
07,M0,reach,0.5359538659071404
07,M3,reach,0.4899538524221458
01,M0,movement,0.5410472436556928
01,M3,movement,0.5339269043638546
04,M0,movement,0.5354499148685863
04,M3,movement,0.5240186713362864
06,M0,movement,0.5
06,M3,movement,0.5
07,M0,movement,0.6233063657407407
07,M3,movement,0.5467912519290123
