window_s,auc_causal,auc_acausal,r2_causal,r2_acausal
2.500000000000000000e-01,6.687576495212267380e-01,6.136085764051191216e-01,-9.343397197478611749e-02,-8.786920982559556781e-02
5.000000000000000000e-01,6.413038705092575231e-01,6.977799962120939670e-01,-8.932733186213188958e-02,-8.199935059697519013e-02
1.000000000000000000e+00,6.543849924511361271e-01,7.002412648032858566e-01,-8.097420950682483742e-02,-7.845987058123453373e-02
2.000000000000000000e+00,5.792501570805171918e-01,7.267633337308265773e-01,-7.193902375124087978e-02,-7.016854698820451652e-02
