window_s,auc_causal,auc_acausal,r2_causal,r2_acausal
2.500000000000000000e-01,4.479327361573654520e-01,5.475016655803264243e-01,-3.772825271919962198e+00,-3.461721088487485609e+00
5.000000000000000000e-01,5.594333957413197833e-01,5.707640932849459281e-01,-4.270775164941152724e+00,-5.007461415758969636e+00
1.000000000000000000e+00,4.429716400117234554e-01,5.927613284923293202e-01,-6.876528925282341831e+00,-5.669525474305714852e+00
2.000000000000000000e+00,3.560228629366719577e-01,5.114229805952466013e-01,-7.815002676547919691e+00,-9.455837011833967409e+00
