window_s,auc_causal,auc_acausal,r2_causal,r2_acausal
2.500000000000000000e-01,8.170094540157130103e-01,8.036929942289013917e-01,-5.257534890726489607e-02,-6.149685130278537137e-02
5.000000000000000000e-01,7.769653701050559524e-01,8.079391559495172626e-01,-7.418176402387519075e-02,-7.670114987626810987e-02
1.000000000000000000e+00,7.433393960854564053e-01,8.098259533043978831e-01,-1.018234567636462640e-01,-1.012877529199345261e-01
2.000000000000000000e+00,6.026590509517214533e-01,7.996148116595469535e-01,-1.451631623404825711e-01,-1.408939768073493026e-01
